ID	time	long	lat	y	Int	elev_e	lat_l^2	lat_abs(l)
10007	1	-105.58633	40.05317	-75.79908173490618	1	3520.0	1604.2564270489002	40.05317
10011	1	-80.67467	25.38733	-10.749015003854037	1	2.0	644.5165245288999	25.38733
10012	1	-84.6005	30.54217	-15.785477749253742	1	60.0	932.8241483088999	30.54217
10013	1	-80.6444	28.5428	-17.873276965751096	1	2.0	814.69143184	28.5428
10014	1	-84.40367	33.17333	-28.209163697580223	1	270.0	1100.4698232889	33.17333
10015	1	-93.38883	40.95783	-35.8779509140917	1	320.0	1677.5438383089	40.95783
10018	1	-88.66983	37.43467	-23.075636645693375	1	161.0	1401.3545180088997	37.43467
10019	1	-90.7205	40.93333	-32.272319704008325	1	229.0	1675.5375048888995	40.93333
10020	1	-87.48467	38.73783	-26.70523430443365	1	134.0	1500.6194731089001	38.73783
10021	1	-96.6055	39.10133	-30.367748900282294	1	350.0	1528.9140077688999	39.10133
10022	1	-100.90983	38.66967	-42.36311070518506	1	863.0	1495.3433779089003	38.66967
10023	1	-85.0489	37.7047	-34.38939512375714	1	293.0	1421.64440209	37.7047
10024	1	-90.17517	30.80683	-19.808491760546946	1	48.0	949.0607746489001	30.80683
10025	1	-70.0215	41.97217	-35.40448133840053	1	41.0	1761.6630545089	41.97217
10026	1	-71.2147	42.3839	-41.87097483182487	1	18.0	1796.3949792099997	42.3839
10027	1	-76.1515	38.90783	-31.07609655926512	1	6.0	1513.8192353088998	38.90783
10028	1	-84.67367	45.5565	-57.42945288528043	1	238.0	2075.39469225	45.5565
10029	1	-93.46783	47.52533	-64.41871883700907	1	431.0	2258.6569916088997	47.52533
10030	1	-95.30033	44.23567	-44.596956148155435	1	343.0	1956.7945003488999	44.23567
10031	1	-89.8	34.0015	-22.965836086226002	1	134.0	1156.10200225	34.0015
10035	1	-78.27367	35.02217	-21.38224624206433	1	41.0	1226.5523915089002	35.02217
10036	1	-103.2642	47.6014	-71.54626462213508	1	611.0	2265.89328196	47.6014
10037	1	-97.7525	48.77617	-70.09901007165463	1	306.0	2379.1147598689	48.77617
10038	1	-100.74117	41.0555	-61.13911752799812	1	919.0	1685.5540802500004	41.0555
10041	1	-105.47060000000002	32.9094	-39.03697838903707	1	2009.0	1083.02860836	32.9094
10042	1	-103.97549999999998	36.774	-47.549278929617955	1	2205.0	1352.327076	36.774
10046	1	-76.65583	42.73367	-44.336634533654305	1	249.0	1826.1665516688997	42.73367
10047	1	-79.39117	42.293	-52.42400219835263	1	488.0	1788.6978489999997	42.293
10048	1	-74.0425	41.3505	-35.72482767737386	1	201.0	1709.8638502499998	41.3505
10049	1	-81.5311	39.7928	-32.243591809099314	1	276.0	1583.46693184	39.7928
10050	1	-98.20033	36.80317	-28.70572390507614	1	345.0	1354.4733220489002	36.80317
10051	1	-97.5195	34.97467	-27.812686252670694	1	331.0	1223.2275416089003	34.97467
10052	1	-101.61717	36.58783	-35.580022866716284	1	999.0	1338.6693041088997	36.58783
10057	1	-80.43433	33.537	-17.908617407008673	1	24.0	1124.7303689999999	33.537
10058	1	-101.855	43.94283	-63.03243845022647	1	733.0	1930.9723084089	43.94283
10059	1	-98.28783	44.353	-52.21017357828938	1	398.0	1967.188609	44.353
10060	1	-84.28567	35.95683	-30.158871161440914	1	341.0	1292.8936236488998	35.95683
10061	1	-97.70417	28.46667	-17.336891406065483	1	82.0	810.3513008889	28.46667
10062	1	-96.25567	29.656830000000003	-17.420824881779062	1	54.0	879.5275656489	29.656830000000003
10063	1	-97.63717	33.38833	-27.913429881175606	1	312.0	1114.7805801889003	33.38833
10066	1	-78.5419	38.0397	-31.638032636498345	1	172.0	1447.0187760900003	38.0397
10067	1	-72.868	44.52367	-53.45564159043332	1	399.0	1982.3571902689005	44.52367
10070	1	-89.65183	46.05167	-51.39203195034903	1	501.0	2120.7563097889	46.05167
10071	1	-88.50033	42.57417	-39.52152292186549	1	288.0	1812.5599511889002	42.57417
10072	1	-80.95	37.98	-37.6956134832308	1	753.0	1442.4803999999997	37.98
10076	1	-104.1922	43.8733	-68.21652685119594	1	1466.0	1924.8664528900001	43.8733
7139800	1	-63.27	45.37	-50.03883633019728	1	40.0	2058.4368999999997	45.37
7152700	1	-80.27	42.85	-51.83496487574345	1	240.0	1836.1225000000002	42.85
7162800	1	-75.67	45.32	-57.11294428360764	1	114.0	2053.9024	45.32
7172000	1	-74.28	46.05	-65.16996909662731	1	395.0	2120.6025	46.05
7174800	1	-91.62	48.75	-73.47904303662122	1	393.0	2376.5625	48.75
7222861	1	-87.543056	33.217222	-24.103430551213087	1	65.0	1103.383837397284	33.217222
7225600	1	-97.22	31.619999999999997	-21.86866313634716	1	156.0	999.8244000000001	31.619999999999997
7230400	1	-75.55	35.27	-19.60504055625329	1	3.0	1243.9729000000002	35.27
7252101	1	-81.8	40.37	-32.595535986437284	1	344.0	1629.7368999999999	40.37
7253400	1	-87.75	41.78	-28.676304515875877	1	189.0	1745.5684	41.78
7622500	1	-106.06999999999998	28.630000000000003	-40.01013044624938	1	1423.0	819.6769	28.630000000000003
7801600	1	-64.68	32.37	-18.167019400352736	1	6.0	1047.8168999999998	32.37
7822902	1	-81.223397	23.022692	-21.990017887516082	1	12.0	530.044346926864	23.022692
7832501	1	-82.333333	23.166667	-17.508829010211624	1	40.0	536.694459888889	23.166667
7837401	1	-82.216667	23.05	-17.126143429054842	1	137.0	531.3025	23.05
