ID	time	long	lat	y	Int	elev_e	lat_l^2	lat_abs(l)
933	1	-106.7	52.2	-101.96805103954921	1	504.0	2724.84	52.2
1086	1	-123.26083	44.5647222	-51.102796685822184	1	76.0	1986.0144647631728	44.5647222
1087	1	-124.053	44.637	-35.80989793785704	1	45.0	1992.461769	44.637
10000	1	-148.9676	63.7232	-136.42405022448966	1	661.0	4060.6462182399996	63.7232
10001	1	-109.85883	33.0695	-16.4466078055153	1	1173.0	1093.59183025	33.0695
10004	1	-112.8	31.95033	-37.5077837693881	1	506.0	1020.8235871089	31.95033
10005	1	-123.08417000000001	39.00283	-40.604580144100304	1	253.0	1521.2207480089003	39.00283
10006	1	-119.85483	37.791	-41.69156888604192	1	1408.0	1428.1596809999999	37.791
10007	1	-105.58633	40.05317	-73.54654565047022	1	3520.0	1604.2564270489002	40.05317
10008	1	-107.70117	40.5045	-72.29952679454416	1	1998.0	1640.61452025	40.5045
10009	1	-106.7903	37.4686	-70.6037551917277	1	3292.0	1403.8959859600002	37.4686
10010	1	-108.4875	37.19217	-66.260143826067	1	2172.0	1383.2575093089	37.19217
10011	1	-80.67467	25.38733	-10.02793280968441	1	2.0	644.5165245288999	25.38733
10012	1	-84.6005	30.54217	-14.037601782805199	1	60.0	932.8241483088999	30.54217
10013	1	-80.6444	28.5428	-13.60107694983544	1	2.0	814.69143184	28.5428
10014	1	-84.40367	33.17333	-21.32639225843114	1	270.0	1100.4698232889	33.17333
10015	1	-93.38883	40.95783	-26.117611098162886	1	320.0	1677.5438383089001	40.95783
10016	1	-113.55283	43.45683	-93.58532264705158	1	1807.0	1888.4960736488997	43.45683
10017	1	-116.05817	44.292	-99.85746152361965	1	1442.0	1961.7812640000002	44.292
10018	1	-88.66983	37.43467	-19.693015159248557	1	161.0	1401.3545180088997	37.43467
10019	1	-90.7205	40.93333	-27.116288050154957	1	229.0	1675.5375048888998	40.93333
10020	1	-87.48467	38.73783	-22.18639717120911	1	134.0	1500.6194731089001	38.73783
10021	1	-96.6055	39.10133	-28.457482447225306	1	350.0	1528.9140077688999	39.10133
10022	1	-100.90983	38.66967	-43.461210863902835	1	863.0	1495.3433779089003	38.66967
10023	1	-85.0489	37.7047	-24.647920861165424	1	293.0	1421.64440209	37.7047
10024	1	-90.17517	30.80683	-17.43255639431804	1	48.0	949.0607746489001	30.80683
10025	1	-70.0215	41.97217	-34.278165739911586	1	41.0	1761.6630545089	41.97217
10026	1	-71.2147	42.3839	-42.57861731808753	1	18.0	1796.3949792099997	42.3839
