"ID","fur","Date","Location","Size","decimalLatitude","decimalLongitude","Sex","Season","Region","analysisLab","coordinatePrecision"
"X10.AR.062915",-14.43,"6/29/15","AR","",35.62234,-93.93317,"Male","Summer","","CASIF",1e-05
"X11.AR.062915",-22.8,"6/29/15","AR","",35.62288,-93.93315,"Male","Summer","","CASIF",1e-05
"X12.AR.071115",-37.57,"7/11/15","AR","",35.64902,-93.80949,"Male","Summer","","CASIF",1e-05
"X13.AR.071215",-7.45,"7/12/15","AR","",35.64902,-93.80949,"Male","Summer","","CASIF",1e-05
"X14.AR.060315",-12.7,"6/3/15","AR","",36.00536,-92.28065,"Male","Summer","","CASIF",1e-05
"X9.AR.062915",-17.76,"6/29/15","AR","",35.62234,-93.93317,"Male","Summer","","CASIF",1e-05
"X7.FL.081117",-5.21,"8/11/17","FL","",29.69213,-82.20615,"Male","Summer","","CASIF",1e-05
"X100.OldIn",6.11,"2/19/18","FL","Large",30.8,-85.2,"Female","Winter","NW","CASIF",0.1
"X102.OldIn",5.96,"2/19/18","FL","Large",30.8,-85.2,"Female","Winter","NW","CASIF",0.1
"X103.OldIn",-4.14,"2/19/18","FL","Large",30.8,-85.2,"Female","Winter","NW","CASIF",0.1
"X105.OldIn",0.37,"2/19/18","FL","Large",30.8,-85.2,"Female","Winter","NW","CASIF",0.1
"X106.OldIn",-0.47,"2/19/18","FL","Large",30.8,-85.2,"Female","Winter","NW","CASIF",0.1
"X113.Milto",18.73,"2/20/18","FL","Large",30.8,-85.3,"Female","Winter","NW","CASIF",0.1
"X115.Milto",-4.93,"2/20/18","FL","Large",30.8,-85.3,"Female","Winter","NW","CASIF",0.1
"X116.Milto",-7.81,"2/20/18","FL","Large",30.8,-85.3,"Female","Winter","NW","CASIF",0.1
"X117.Fears",-2.56,"2/20/18","FL","Small",30.8,-85.3,"Female","Winter","NW","CASIF",0.1
"X118.Fears",-4.36,"2/20/18","FL","Small",30.8,-85.3,"Female","Winter","NW","CASIF",0.1
"X119.Fears",5.46,"2/20/18","FL","Small",30.8,-85.3,"Female","Winter","NW","CASIF",0.1
"X120.Falli",3.58,"2/20/18","FL","Large",30.7,-85.5,"Female","Winter","NW","CASIF",0.1
